Feature,Importance
NumKidsBornNeverMar,0.0956831640246788
population,0.0942351390603486
NumUnderPov,0.08831918307419077
numbUrban,0.08140676075130393
HousVacant,0.05112640048989998
NumInShelters,0.02474361021220316
state_encoded,0.023675602707054714
NumStreet,0.01941273681422005
LemasPctOfficDrugUn,0.018980783806659917
LandArea,0.015528707828045458
NumImmig,0.015237232997470969
county_code_encoded,0.01205873818451193
PctKidsBornNeverMar,0.01204851370285744
racePctWhite,0.01144734084525477
FemalePctDiv,0.010994555087014942
PctKids2Par,0.010449402135470845
PctFam2Par,0.00966845735328595
TotalPctDiv,0.009125398938729067
NumKindsDrugsSeiz,0.00875460339590515
PctYoungKids2Par,0.008217314575164569
